trabajos_realizados,clasificacion,lugar,cliente
"Instalación, interconexión, pruebas de funcionamiento, puesta en operación y pruebas de desempeño de transformador capacidad 7.5 MVA.",Servicio,Campeche,Plataforma EK-A- Pemex
Modernización del sistema de control de velocidad con 505 de Woodward.,Servicio,Morelos,IMasegosa / Ingenio Emiliano Zapata
"Suministro, instalación, pruebas y puesta en operación de un seccionador tripolar de cinco vías/cinco interruptores en SF6 para uso en intemperie, 34.5 KV.",Servicio,Campeche,Plataforma BALAM-TD- Pemex
"Suministro, Instalación, Pruebas y Puesta en Operación de Un Variador de Frecuencia, de 624 KVA, NEMA 4.",Servicio,Campeche,Plataforma BALAM-TD- Pemex
"Suministro, instalación, pruebas y puesta en operación de una unidad ininterrumpible de energía (UPS) 10 KVA.",Servicio,Campeche,Plataforma BALAM-TD- Pemex
"Adecuación de ingeniería, instalación, interconexión, pruebas y puesta en operación de arreglo en el CCM-02.",Servicio,Campeche,PlataformaBALAM-A -Pemex
"Diseño, suministro, construcción, instalación y puesta en marcha de un tablero tipo CCM (BT) para industria Minera.",Proyecto,Jalisco,Era Minerals
"Fabricación de bases para gobernador de velocidad, mantenimiento y puesta en operación.",Proyecto,Jalisco,Ingenio de Autlán
"Inspección técnica, visual, reemplazo de componentes y prueba en campo al variador de velocidad (VDF-10-01), marca Siemens.",Servicio,Campeche,"MALOOB-D, ACTIVO KUMAZA-Pemex"
"Instalación, interconexión, configuración, pruebas de funcionamiento, puesta en operación y pruebas de desempeño a seccionador de 34.5kv de 9 vías.",Servicio,Campeche,Plataforma EK-A- Pemex
"Pruebas de funcionamiento, puesta en operación y pruebas de desempeño de transformador, de 03 fases, capacidad 1500 kva.",Servicio,Campeche,Plataforma EK-A- Pemex
"Rehabilitación con personal técnico especializado de 2 variadores de frecuencia, ide 325 kva.",Servicio,Campeche,PlataformaBALAM-A -Pemex
"Rehabilitación de 14 transformadores, en la plataforma BALAM-A.",Servicio,Campeche,Plataforma BALAM-A-Pemex
Rehabilitación y puesta en operación de cuarto de control BEC para 10 variadores.,Servicio,Campeche,"AYATSIL-C, ACTIVO KUMAZA- PEMEX"
"Servicio de mantenimiento, instalación y puesta en marcha de gobernadores de velocidad en ingenio.",Proyecto,Jalisco,Tamazula
"Comisionamiento, interconexión, integración, configuración, pruebas de funcionamiento y puesta en operación de válvula de control pv-3038 de 10"" diam. clase 600 libras y de transmisor indicador de presión pv-3038b.",Servicio,Campeche,Plataforma AKAL-C2- COTEMAR
"Ingeniería, suministro, instalación y Canalización de Cable Media Tensión 4.1 kV de tablero de distribución al generador.",Proyecto,Jalisco,Grupo Sáenz (Tamazula)
"Ingeniería, suministro, instalación y puesta en marcha de CCMS (CA|CD) para la central Chankanaab - Cozumel.",Proyecto,Quintana Roo,CFE
"Instalación, interconexión configuración, pruebas de funcionamiento, pruebas de desempeño y puesta en operación de variador de frecuencia.",Servicio,Campeche,Plataforma BALAM TA y TB COTEMAR
Modernización de control de velocidad Woodward y sistema hidráulico de la central Cecilio del Valle.,Proyecto,Chiapas,CFE
Modernización de control de velocidad Woodward y sistema hidráulico de la central Tamazulapan.,Proyecto,Oaxaca,CFE
"Suministro, instalación, pruebas y puesta en servicio de HVX Schnedier electric para sección de metal clad.",Proyecto,Jalisco,CFE
"Actualización de estudios eléctricos para flujos de carga, coordinación de protecciones y cortocircuito, con ajustes y pruebas de disparo de las protecciones eléctricas.",Servicio,Campeche,AKAL-B1 - COTEMAR
"Asistencia técnica para la instalación, interconexión, pruebas de funcionamiento y puesta en operación de interruptor marca Eaton.",Servicio,Campeche,AKAL-G - COTEMAR
Instalación y puesta en operación de la IHM en VDF.,Servicio,Campeche,BALAM-TB - COTEMAR
"Rehabilitación de transformador defasador, 500 KVA y transformador elevador 500 KVA.",Servicio,Campeche,BALAM-TB - COTEMAR
Actualización de estudio eléctrico de coordinación de protecciones y corto circuito del sistema de generación y distribución eléctrica.,Servicio,Campeche,AKAL-B- COTEMAR
Actualización de estudio eléctrico de coordinación de protecciones y corto circuito del sistema de generación y distribución eléctrica.,Servicio,Campeche,AKAL-G- COTEMAR
"Ingeniería, suministro, instalación y puesta en marcha de 2 VFD media tension 1000HP, marca TRIOL, Nema 4X.",Proyecto,Tabasco,Slb
"Ingeniería, suministro, instalación y puesta en marcha de UPS de 5KVA trifásico para proyecto plataforma marina.",Proyecto,,Cotemar
"Ingeniería, suministro, instalación y puesta en marcha de Variador auto soportado de 75 HP para extracción de petróleo en tierra.",Proyecto,,Slb
"Ingeniería, suministro, instalación y puesta en marcha de Variador de velocidad de 200 HP TRIOL",Proyecto,Colima,"Coca-Cola, Embotelladora de Colima"
"Ingeniería, suministro, instalación y puesta en marcha tableros de distribución media tensión 4.1 kV.",Proyecto,Tabasco,Slb
"Ingeniería, suministro, instalación y puesta enmarcha de Variador de 300 HP para extracción de petróleo en campo en tierra.",Proyecto,Veracruz,COTEMAR
"Instalación, interconexión, configuración, pruebas de funcionamiento, puesta en operación y pruebas de desempeño de variadores de frecuencia.",Servicio,Campeche,AKAL-B Y G - COTEMAR
"Interconexión, integración, configuración, pruebas de funcionamiento y puesta deseñales de proceso y señales de comunicación modbus en el sistema de control distribuido SDMC tps Honeywell",Suministro,Campeche,AKAL-G- PERFORACION- COTEMAR
"Servicio de mantenimiento, instalación y puesta en marcha de gobernadores de velocidad PGD Woodward en embarcación.",Proyecto,Veracruz,Embarcación China
"Servicio de inspección, modernización y mantenimiento mayor a 4 grúas tipo puente con capacidad de 250 toneladas.",Servicio,Chiapas,CH Angostura
"Servicio, suministro e instalación y puesta en marcha de 14 variadores de frecuencia E-Cabinet para interperie.",Servicio,Campeche,Baker Hughes
"Servicio, suministro e instalación y puesta en marcha de 6 variadores de frecuencia E-Cabinet para interperie.",Servicio,Tabasco,MIZTON Pemex
"Servicio, suministro e instalación y puesta en marcha de 8 variadores de frecuencia E-Cabinet para interperie.",Servicio,Tabasco,AMOCA Pemex
"Sustitución de los circuitos de fuerza del Módulo1, incluyendo el desmantelamiento de los circuitos eléctricos de fuerza; Así como el suministro e instalación de cable, incluyendo cajas de conexiones y accesorios eléctricos para interconexiones.",Servicio,Campeche,AKAL-C7- PEMEX
"Ingeniería, suministro, instalación y puesta en marcha de Variador regenerativo 300 HP SCHNEIDER ELECTRIC.",Proyecto,Jalisco,Ingenio Tamazula
Capacitación Gobernadores 505 y 2301 de Woodward.,Capacitación Interna,Jalisco,VMS ENERGY
"Capacitación DSCL-MSCL–II, EGCP-3 de Woodward y DECS 250 Basler Electric.",Capacitación,Nayarit,Grupo Dragón
Capacitación en UPS y cargadores.,Capacitación,Campeche,Pemex
Capacitación en 505 / 505-XT y DSCL-II y MSCL–II.,Capacitación Interna,Jalisco,VMS ENERGY
Capacitación de Variadores ABB ACS880/ACQ580 y PLCS Rockwell RS LOGIX 5000/500.,Capacitación,Jalisco,Ingenio de Tamazula
